Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
scarlet_fever,Doxycycline,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
skin_abscess,Doxycycline,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Ceftriaxone,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Amoxicillin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Vancomycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
diphtheria,Amoxicillin,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Azithromycin,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Doxycycline,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
sinusitis,Vancomycin,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Azithromycin,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Ceftriaxone,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
ear_infection,Amoxicillin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Doxycycline,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
whooping_cough,Ceftriaxone,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
tuberculosis,Amoxicillin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Azithromycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Azithromycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Amoxicillin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Doxycycline,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
typhoid_fever,Azithromycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Azithromycin,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Doxycycline,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
diphtheria,Vancomycin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Vancomycin,Linezolid,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Amoxicillin,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
sinusitis,Doxycycline,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
cholera,Azithromycin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Vancomycin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Doxycycline,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Vancomycin,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
tuberculosis,Amoxicillin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Doxycycline,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Ceftriaxone,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Vancomycin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Vancomycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Ciprofloxacin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Vancomycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Azithromycin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Vancomycin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Vancomycin,Metronidazole,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Vancomycin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
pyelonephritis,Ceftriaxone,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Vancomycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
cholera,Ceftriaxone,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Ceftriaxone,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Ceftriaxone,Metronidazole,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Vancomycin,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Ceftriaxone,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Vancomycin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
bacterial_endocarditis,Azithromycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Ceftriaxone,Clindamycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Amoxicillin,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Ceftriaxone,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
typhoid_fever,Doxycycline,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Ceftriaxone,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Vancomycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Linezolid,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Vancomycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Azithromycin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Azithromycin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Vancomycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Vancomycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Amoxicillin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Vancomycin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Doxycycline,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
osteomyelitis,Amoxicillin,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
whooping_cough,Vancomycin,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Ceftriaxone,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Ceftriaxone,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
chlamydia,Ceftriaxone,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Doxycycline,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Doxycycline,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Azithromycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Ceftriaxone,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
strep_throat,Azithromycin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
pyelonephritis,Ceftriaxone,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Azithromycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Azithromycin,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Doxycycline,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
ear_infection,Vancomycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
